time,pside,oside
2.027027027027027e-07,300.0,300.0000000000091
4.054054054054054e-07,299.25292461355485,299.9962961503731
6.081081081081081e-07,297.61850396276526,299.9787635815232
8.108108108108108e-07,302.8358015764316,299.9697202452818
1.0135135135135136e-06,308.3300679414855,300.01448410744615
1.2162162162162162e-06,326.1873134105346,300.21667967054464
1.4189189189189188e-06,418.14291582298273,301.0651132927261
1.6216216216216216e-06,644.3318925613883,303.88452081739536
1.8243243243243245e-06,785.5609219873761,309.810119401523
2.0270270270270273e-06,798.495357330819,318.7140535929742
2.2297297297297296e-06,752.7494463420171,329.3545611065004
2.4324324324324325e-06,709.1762268784113,340.25559758137484
2.6351351351351353e-06,678.7268267294436,350.34694542172974
2.8378378378378377e-06,655.8247877282928,359.0947867404371
3.0405405405405405e-06,635.2938912972968,366.3506896168349
3.2432432432432433e-06,619.0797261541858,372.18449717895373
3.445945945945946e-06,604.5119571317003,376.7603118408456
3.648648648648649e-06,589.2476665509199,380.25415989136957
3.851351351351351e-06,578.8068386995617,382.84383887946126
4.0540540540540545e-06,566.9762709403255,384.68559760646264
4.256756756756757e-06,556.3643135695651,385.9087489550544
4.459459459459459e-06,546.8061771254287,386.621371059514
4.6621621621621625e-06,539.6717246376991,386.92296378557114
4.864864864864865e-06,531.865104629454,386.8964031503914
5.067567567567567e-06,520.1913199130901,386.5842095573212
5.2702702702702705e-06,514.0822705670182,386.02793624830105
5.472972972972973e-06,503.65668909627055,385.2546147767278
5.675675675675675e-06,496.62260529242315,384.29227934819056
5.8783783783783786e-06,486.79821836893257,383.1585536492691
6.081081081081081e-06,474.35113245136296,381.8476366953746
6.283783783783784e-06,472.48624974121725,380.39588732411625
6.4864864864864866e-06,464.73621497870226,378.84351474316236
6.689189189189189e-06,453.1917618950092,377.19302760104955
6.891891891891892e-06,447.1961349213221,375.450188804913
7.0945945945945946e-06,436.7490787730053,373.6130151228238
7.297297297297298e-06,426.5285833579058,371.6719483677398
7.5e-06,419.58005993587176,369.6344759320634
