time,pside,oside
7.5e-08,300.00000000000057,300.000000000008
1.5e-07,300.00000000000057,300.0000000000126
2.25e-07,300.00000000000057,300.0000000000161
3e-07,300.00000000000057,300.00000000001916
3.75e-07,299.718719445964,299.99994865854467
4.5e-07,298.57080647785307,299.9995217768882
5.25e-07,297.76932557520576,299.9979748763314
6e-07,297.63283545654866,299.99433258278594
6.75e-07,298.73590125037094,299.9879608037051
7.5e-07,301.4096055184014,299.97936269433376
8.249999999999999e-07,302.93955452655797,299.970428578886
9e-07,303.48995169720536,299.9638317727326
9.75e-07,306.2575931324718,299.96254993173204
1.05e-06,310.2898406984835,299.9700169342603
1.125e-06,316.707848438452,299.99082197873975
1.2e-06,323.9866792176725,300.0313085896989
1.2749999999999999e-06,341.75737864657737,300.1013913720129
1.35e-06,361.636633356004,300.2165350948589
1.425e-06,423.36747279608676,300.40544911688085
1.5e-06,489.1326534744012,300.7181227475724
1.575e-06,584.807575614991,301.2314771809331
1.6499999999999999e-06,675.539840827352,302.0471590227445
1.725e-06,732.2120185551372,303.27469493129854
1.8e-06,779.9758267023939,305.0083725307261
1.8749999999999998e-06,797.2214343883744,307.30618366357595
1.95e-06,806.3911433926105,310.1786229300419
2.025e-06,798.721392703671,313.58813577388736
2.1e-06,786.0519629472794,317.45714075582976
2.175e-06,766.541245231721,321.6805891796292
2.25e-06,747.9862161417188,326.14009624510953
2.3249999999999998e-06,730.3216529512034,330.71718054262624
2.4e-06,715.1043427928556,335.3037820018584
2.475e-06,701.4040051822194,339.8089518309309
2.5499999999999997e-06,690.2460563847557,344.1618659472575
2.625e-06,680.0995371886213,348.3117928147291
2.7e-06,671.782711668834,352.2261041161057
2.7749999999999997e-06,663.8861804550294,355.88718502067485
2.85e-06,654.2349611669721,359.2885307403184
2.925e-06,644.4504512602758,362.43082844978585
3e-06,638.5054229210414,365.31957713015464
3.0749999999999998e-06,632.5736908888291,367.96398008697673
3.15e-06,626.7248666338548,370.3760893410698
3.225e-06,620.7054233224234,372.56973197072494
3.2999999999999997e-06,614.0267843892111,374.55925576690726
3.375e-06,608.193960514732,376.35862257793445
3.45e-06,604.3009550951241,377.98134477109585
3.5249999999999997e-06,599.3956197808893,379.4406058239171
3.6e-06,592.9809725704079,380.74883311295986
3.675e-06,588.0102074915145,381.91730684089157
3.7499999999999997e-06,584.4858520910628,382.95641362232254
3.825e-06,580.3851321086262,383.87605097789543
3.9e-06,575.8957159416245,384.68566807483097
3.975e-06,571.5265845599986,385.3940577761619
4.05e-06,567.2101662599198,386.00917890117995
4.1249999999999995e-06,562.838614146001,386.5380983509508
4.2e-06,558.4527054986975,386.9870248339779
4.275e-06,555.7583897183373,387.36170225658
4.35e-06,553.2701886659328,387.66793434268413
4.425e-06,548.8486241981528,387.91147895474757
4.5e-06,544.6341126065307,388.0975308427645
4.574999999999999e-06,542.7743119439359,388.23078077440334
4.6499999999999995e-06,540.4123167596739,388.3158219338923
4.725e-06,535.8469362480122,388.35695597001734
4.8e-06,532.4010135855088,388.35780579508946
4.875e-06,531.7794112718495,388.32173327303343
4.95e-06,529.159007783787,388.25226836389135
5.025e-06,523.3046718355132,388.1524382626554
5.0999999999999995e-06,519.5811585371222,388.02409607137525
5.175e-06,518.1671490947141,387.86839520738016
5.25e-06,515.1947146869026,387.6865096757924
5.325e-06,511.08364667175715,387.4796676721138
5.4e-06,507.253097574239,387.2488151276957
5.475e-06,503.55725367768144,386.9944452364817
5.549999999999999e-06,500.61495077772946,386.71682281875775
5.6249999999999995e-06,497.89267898065793,386.4163836526488
5.7e-06,496.07613767766094,386.0941531623941
5.775e-06,494.3928171734512,385.7519791049532
5.85e-06,488.9173520956081,385.39176337954456
5.925e-06,483.3703349998788,385.0142892865677
6e-06,478.46063843017834,384.6187490369922
6.0749999999999994e-06,474.3570487112029,384.20324963973513
6.1499999999999996e-06,474.28324436151047,383.7664167078194
6.225e-06,473.7912685124563,383.3088596071388
6.3e-06,472.1270235419269,382.8333256767986
6.375e-06,469.8247564153581,382.34371838697314
6.45e-06,466.4026863734247,381.8437254236378
6.524999999999999e-06,462.2232334795497,381.33570958255757
6.5999999999999995e-06,457.15793201862016,380.820111829101
6.675e-06,453.6292101963098,380.29575007862655
6.75e-06,451.3157068522485,379.76089623648875
6.825e-06,449.1115046455365,379.21435746242685
6.9e-06,446.96411758777754,378.656000595187
6.974999999999999e-06,443.4590635961889,378.08645712324306
7.049999999999999e-06,439.5120259929903,377.5063892426342
7.1249999999999995e-06,434.7743479787103,376.91578140715086
7.2e-06,429.8995292872856,376.3135979126932
7.275e-06,427.2735906216961,375.69829399480267
7.35e-06,424.75178539791534,375.0687187680543
7.425e-06,421.96116349416855,374.4246419851656
7.499999999999999e-06,419.5802016808503,373.7668034326031
