time,temp
3.56618E-07,2155.554616
4.99265E-07,2153.367894
6.41912E-07,2153.109739
7.84559E-07,2158.202562
9.27206E-07,2159.247517
1.06985E-06,2166.924626
1.2125E-06,2180.780113
1.35515E-06,2218.622058
1.49779E-06,2342.071614
1.64044E-06,2524.226158
1.78309E-06,2631.990738
1.92574E-06,2664.706282
2.06838E-06,2650.035659
2.21103E-06,2612.861639
2.35368E-06,2579.231706
2.49632E-06,2553.158546
2.63897E-06,2533.85014
2.78162E-06,2518.823984
2.92426E-06,2500.130839
3.06691E-06,2488.8262
3.20956E-06,2477.697558
3.35221E-06,2464.987479
3.49485E-06,2457.585787
3.6375E-06,2445.376281
3.78015E-06,2438.674806
3.92279E-06,2430.132706
4.06544E-06,2421.920179
4.20809E-06,2413.575257
4.35074E-06,2408.843341
4.49338E-06,2400.390444
4.63603E-06,2396.858221
4.77868E-06,2388.166734
4.92132E-06,2386.992404
5.06397E-06,2375.844728
5.20662E-06,2373.161241
5.34926E-06,2365.336841
5.49191E-06,2358.305238
5.63456E-06,2353.127269
5.77721E-06,2349.926509
5.91985E-06,2339.280739
6.0625E-06,2329.93957
6.20515E-06,2329.811008
6.34779E-06,2326.644004
6.49044E-06,2320.130096
6.63309E-06,2310.489156
6.77574E-06,2306.091506
6.91838E-06,2302.007555
7.06103E-06,2294.496098
7.20368E-06,2285.219749
7.34632E-06,2280.450685
7.48897E-06,2275.141794
